ID,Name,Current Category,Platform,Confidence,Reason,Description
ai-detection-truepic-24,"Truepic","AI Detection Tool","https://truepic.com",high,"strong indicator match","Content authenticity platform that detects manipulated images and videos. Provides cryptographic verification."
ai-detection-invid-28,"InVID","AI Detection Tool","https://www.invid-project.eu",high,"strong indicator match","Video verification tool that helps detect manipulated videos and deepfakes. Browser extension and web platform."
200,"HeyGen","Video Generation","https://www.heygen.com",high,"strong indicator match","AI video generation platform that creates talking avatars and personalized videos from text scripts."
202,"DeepBrain AI","Video Generation","https://www.deepbrain.io",high,"strong indicator match","AI video generation platform that creates realistic AI avatars and virtual humans for video content."
ot-6601d440a1b2b5ce0d242390,"Any Summary","Learning & Education","https://www.anysummary.app/",high,"strong indicator match","AnySummary is an AI-powered tool designed to effectively analyze and summarize long audio and video interview files to extract key points quickly, allowing users to avoid the tedious task of reviewing"
ot-675e3c51ef45804b2a3f7d97,"KreadoAI","Generative AI","https://www.kreadoai.com/",high,"strong indicator match","KreadoAI is trusted by over 3,500 teams to scale video production effortlessly.   With KreadoAI's AI-powered video generator, transform text, images, PowerPoint presentations, and more into high-quali"
ot-6699315e46403d98189affa5,"Undressbaby AI","Generative AI","https://undressbaby.com/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","Undressbaby offers a suite of advanced AI tools designed to manipulate images and videos, including dressing and undressing images, facial swaps, and multi-creation functionalities. The platform suppo"
ot-6697268def25c0746b5d4e47,"MurfAI","Generative AI","https://murf.ai/?lmref=oKMRNw",high,"strong indicator match","Murf offers a comprehensive solution for transforming text into realistic voiceovers with numerous applications. Enjoy lifelike voices for e-learning, advertisements, presentations, explainer videos, "
ot-66973040ef25c0746b5e0f94,"Guidde","Generative AI","https://www.guidde.com/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing",high,"strong indicator match","Guidde is a next-generation platform that revolutionizes how users create, edit, and share video documentation and how-to guides by utilizing advanced generative AI. Ideal for customer support and pro"
ot-6680ada31627cd03be28fdd7,"Videoleap","Generative AI","https://www.videoleapapp.com/?ref=opentools.ai",high,"strong indicator match","Videoleap is a versatile video editing app designed for creators and professionals alike. With a wide range of editing tools including AI-driven features, Videoleap makes it easy to create, edit, and "
ot-66984175ab9798050c9f8fb4,"AVCLabs Video Enhancer","Generative AI","https://www.avclabs.com/video-enhancer-ai.html?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","AVCLabs Video Enhancer AI is state-of-the-art software that utilizes artificial intelligence to enhance and upscale videos. Supporting transformations from SD to HD, HD to 4K, and 4K to 8K, it employs"
ot-669823dbef25c0746b62438b,"TurboScribe","Generative AI","https://turboscribe.ai/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","TurboScribe Unlimited is a state-of-the-art transcription tool that offers highly accurate audio and video transcriptions. Renowned for its ease of use and efficiency, it supports a myriad of audio an"
ot-6680a6a41627cd03be28edfe,"Colossyan","Generative AI","https://www.colossyan.com/?ref=opentools.ai",high,"strong indicator match","Colossyan offers endless solutions through a beautiful and easy-to-use interface. Some of the standout features include AI avatars, AI voices in 100+ languages, auto translation, subtitles, and docume"
ot-68108e89b24cbcc12e447d11,"MagicLight","Generative AI","https://www.magiclight.ai/?code=guide3",high,"strong indicator match","MagicLight is an AI-powered text‑to‑video platform that transforms written content into professional, on‑brand videos in minutes. Built for marketers, educators, and creators, it automates production "
ot-664784cb9a0c9177d4a0017c,"Unscreen","Generative AI","https://www.unscreen.com/",high,"strong indicator match","Unscreen's automatic video background removal service offers an effortless way to eliminate backgrounds from your videos without the need for green screens or complex editing techniques. It supports m"
ot-66477b6b9a0c9177d49ff3d6,"Rask.ai","Generative AI","https://www.rask.ai/",high,"strong indicator match","Rask.ai is an advanced AI-powered platform that simplifies and scales video localization for creators, educators, and global businesses. It provides a comprehensive suite of tools for transcribing You"
ot-66972dcaef25c0746b5dd7e4,"Video Editor AI","Generative AI","https://videoeditorai.com/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing",high,"strong indicator match","Video Editor AI is a versatile tool that simplifies and enhances the video editing process through artificial intelligence. It's designed to cater to users' diverse needs by supporting over 50 languag"
ot-6697225cef25c0746b5cebc3,"Picsart","Generative AI","https://picsart.com/gold?irclickid=2X2XjlVUKxyNWfYX3fUjpSzjUkATzd2l%3AWZgXo0&irgwc=1",high,"strong indicator match","Picsart offers a cutting-edge AI-powered creative toolkit designed for both individuals and teams. The platform features multiple subscription plans to cater to different levels of creative needs. The"
ot-66985480ab9798050ca001a4,"YTClass","Generative AI","https://ytclass.co/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","DashLearn is an advanced online learning platform providing a wide array of courses across various fields such as Digital Marketing, UI/UX design with Figma, Video Editing, and more. With the help of "
ot-669816d9ef25c0746b617c1a,"Wondershare VirtuLook","Generative AI","https://virtulook.wondershare.com/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","Filmora is a comprehensive video editing software designed to meet the needs of both beginners and advanced users. It offers a wide range of features including cutting, trimming, transitions, effects,"
ot-66984ff6ab9798050c9fef9c,"MagicAds","Generative AI","https://www.magicads.ai/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","MagicAds is an AI-powered video ad generator aimed at e-commerce professionals, creating influencer-like video ads swiftly with just a product URL and optional customizations. The platform promises to"
ot-6699377646403d98189b76d5,"HitPaw Edimakor","Generative AI","https://www.hitpaw.com/video-editor.html?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","Edimakor is a comprehensive platform offering a variety of tools and features designed for content creation and editing. It provides robust video and audio editing capabilities including text addition"
ot-66982611ef25c0746b624fbd,"Promptly Generated","Generative AI","https://promptlygenerated.com/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","Promptly Generated is a tool designed to simplify prompt engineering, making it accessible to everyone from developers and business owners to students. By using this tool, users can craft precise AI p"
ot-6647862e9a0c9177d4a011ad,"Vid2Txt","Generative AI","https://vid2txt.com/",high,"strong indicator match","Vid2txt is an innovative utility application designed to provide fast and accurate offline transcription for both video and audio files. Supporting formats like mp4, mov, wmv, mkv, and more, Vid2txt g"
ot-66985052ab9798050c9ff2c1,"DevPromptAi","Generative AI","https://devprompt.ai/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","The Agreement covers various aspects of event planning and execution. The terms ensure clarity and protection for both parties, including provisions for event cancellation, payment terms, force majeur"
ot-66985aeaab9798050ca0154c,"Face Swap by Akool","Generative AI","https://faceswap.akool.com/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","AKOOL's Face Swap platform revolutionizes marketing efficiency by enabling quick creation of attention-grabbing advertising campaigns. Companies can transform stock images and generate personalized vi"
ot-6696a248ef25c0746b5b944d,"Spirit Me","Generative AI","https://spiritme.tech/",high,"strong indicator match","Spiritme is a cutting-edge AI-video platform that allows users to create highly personalized videos using digital avatars. This innovative tool enables anyone to craft quality videos without needing t"
ot-67481dd992cd79ff7c4ff774,"Ultraswap","Generative AI","https://www.ultraswap.ai/",high,"strong indicator match","Ultraswap.ai is a cutting-edge AI-driven platform offering superior face-swapping capabilities for both photos and videos. Targeted at content creators, influencers, and marketers, it helps produce re"
ot-6697374aef25c0746b5e7bee,"Podsqueeze","Generative AI","https://podsqueeze.com/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing",high,"strong indicator match","PodSqueeze is an AI-powered tool that automates the transcription of YouTube videos, enhancing accessibility and SEO. By converting audio to text with high accuracy and speed, PodSqueeze makes video c"
ot-66972520ef25c0746b5d2cd7,"CreatorML","Generative AI","https://creatorml.com/",high,"strong indicator match","CreatorML harnesses advanced AI technology to assist YouTube creators in optimizing their video content. Key features of CreatorML include the YouTube View Predictor, Winning Thumbnail Predictor, YouT"
ot-6697297aef25c0746b5d8543,"SceneXplain","Generative AI","https://scenex.jina.ai/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing",high,"strong indicator match","The Scenex Ethics Policy is designed to guide employees in upholding the company's values and maintaining its reputation through ethical conduct. Key areas covered include confidentiality, conflicts o"
ot-6696aa5bef25c0746b5c2852,"Kayyo","Generative AI","https://apps.apple.com/us/app/kayyo-ai-mma-trainer/id1635789596",high,"strong indicator match","Kayyo: AI MMA Trainer revolutionizes martial arts training with cutting-edge AI technology. Offering personalized coaching and real-time feedback, this app is your virtual MMA instructor. Key features"
ot-6696abb1ef25c0746b5c4db5,"Taskade","Generative AI","https://www.taskade.com/?via=matt-wolfe",high,"strong indicator match","Taskade is a comprehensive productivity platform designed to help remote teams stay organized and efficient. Users can create collaborative task lists, mind maps, and outlines while benefiting from in"
ot-669726faef25c0746b5d57f3,"Cutout Pro","Generative AI","https://www.cutout.pro/?vsource=cutout_share-372097286467717&ref=",high,"strong indicator match","Cutout Pro is a versatile platform that utilizes AI and computer vision to offer a diverse range of tools aimed at simplifying visual design tasks. Established by a team of technomaniacs in 2018, Cuto"
ot-6697e27def25c0746b6021eb,"Coursebox","Generative AI","https://www.coursebox.ai/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","Coursebox is an AI-powered eLearning platform designed to streamline the creation, management, and delivery of online courses. It offers various features like an AI quiz generator, AI assessment, AI r"
ot-669811c8ef25c0746b6163c4,"Picsi.AI","Computer Vision","https://github.com/deepinsight/insightface/tree/master/web-demos/swapping_discord?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","The 'swapping_discord' web demo hosted on GitHub by InsightFace showcases the capabilities of their face swapping technology. This demo illustrates how users can swap faces using images and videos on "
ot-680b4916fc92c3bf51959f41,"EaseUS Online Vocal Remover","Generative AI","https://multimedia.easeus.com/vocal-remover/",high,"strong indicator match","EaseUS Online Vocal Remover is an advanced AI-powered online tool designed to separate vocals and instrumentals from both audio and video files. With support for numerous formats such as MP3, WAV, M4A"
ot-66981a96ef25c0746b618e56,"MiroAI","AI Detection","https://miro.com/ai/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","Miro AI is a cutting-edge, AI-powered tool designed to revolutionize the way teams ideate, iterate, and deliver projects. By offering AI-generated content creation, instant shortcuts, and AI-assisted "
ot-6697fd9aef25c0746b60fc23,"Hive","AI Detection","https://thehive.ai/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","The Hive offers advanced AI models and solutions for a variety of industries including technology, sports, media, and marketing. Their services encompass content moderation, visual context identificat"
ai-detection-microsoft-video-authenticator-25,"Microsoft Video Authenticator","AI Detection Tool","https://www.microsoft.com/en-us/ai/ai-lab-video-authenticator",high,"strong indicator match","Microsoft's tool for detecting deepfake videos. Analyzes video frames to detect AI-generated content."
ot-66992afd46403d98189a9f6b,"Osum","Generative AI","https://osum.com/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","Osum is a comprehensive market research tool designed to help businesses analyze and optimize their market strategy. Key features include instant market analysis, customer profiling, SWOT analysis, tr"
ot-66982fa3ef25c0746b627d7d,"SmiliMedia","Generative AI","https://www.smilimedia.com/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","Smili Media offers an AI-based service designed to help content creators effortlessly generate short videos for social media platforms such as TikTok, Shorts, and Reels from their YouTube videos. The "
ot-66477a209a0c9177d49ff0c3,"Tugan.ai","Generative AI","https://www.tugan.ai/",high,"strong indicator match","Tugan.ai is a revolutionary AI-powered content creation tool tailored for entrepreneurs, marketers, and creators. It enables users to transform YouTube videos, articles, and websites into original, hi"
ot-66972ddcef25c0746b5dd93d,"EditAir","Generative AI","https://www.editair.app/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing",high,"strong indicator match","EditAir is an innovative video editing platform designed to help users create viral short-form content effortlessly. With powerful features including IntellectSearch, Multi-Resolution, Media Resizing,"
ot-66992add46403d98189a9de0,"DeepSwapper AI","Generative AI","https://www.deepswapper.com/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","DeepSwapper offers a robust AI face-swapping service enabling users to swap faces in images, videos, or GIFs seamlessly. The service includes features such as unlimited swaps, no watermark outputs, an"
ot-669724d8ef25c0746b5d26b7,"Speechify","Generative AI","https://speechify.com/",high,"strong indicator match","The AI Voice Generator from Speechify offers a suite of cutting-edge tools for audio and video content creation. This includes AI Voice Over for converting text into high-quality audio files, Voice Cl"
ot-66972b52ef25c0746b5dac60,"Reetail","Generative AI","https://reetail.store/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing",high,"strong indicator match","Reetail is a user-friendly, online store builder designed for small businesses, allowing users to launch their e-commerce store in under 5 minutes without any coding knowledge. Trusted by over 1100 sm"
ot-66981119ef25c0746b615e55,"Vscoped","Generative AI","https://vscoped.com/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","Vscoped AI Transcribing and Translation Service offers effortless, accurate, and fast transcriptions for audio and video content in over 90 languages. The platform provides multifunctional solutions i"
ot-6680ccc1ad2d022e89b2275b,"Vectorizer.AI","Generative AI","https://vectorizer.ai/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","Vectorizer.AI is a powerful platform that converts PNG and JPG images into high-quality SVG vector files quickly and automatically using advanced AI. Users can utilize this tool for various applicatio"
ot-669827c8ef25c0746b62591f,"OctiAI","Generative AI","https://www.octiai.com/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","OctiAI is an advanced AI prompt generator tailored for platforms such as ChatGPT and MidJourney. It provides versatile integration, cross-platform compatibility, and innovative features to optimize an"
ot-66972e8def25c0746b5de8e3,"OnlyWaifus","Generative AI","https://www.onlywaifus.ai/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing",high,"strong indicator match","OnlyWaifus is an AI-driven platform designed for generating uncensored anime-style characters and enhancing existing hentai artwork. Aimed at anime and hentai enthusiasts, artists, and content creator"
ot-6696af6aef25c0746b5c9076,"Bannerbear","Generative AI","https://www.bannerbear.com/?via=matt",high,"strong indicator match","Bannerbear offers a comprehensive suite of automation tools, including Image Generation, Multi Image, Video Generation, and PDF Generation APIs, designed to streamline marketing operations. The platfo"
ot-678a8515a829e97c02a7383a,"Vidu AI Video Generator","Generative AI","https://www.vidu.com/",high,"strong indicator match","Vidu AI is an advanced video generation platform that leverages cutting-edge artificial intelligence to transform text prompts and images into high-quality videos. The platform boasts incredibly fast "
ot-66980f23ef25c0746b6153e5,"Architect Render","Generative AI","https://www.architectrender.com/?ref=futuretools.io&utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","Architect Render is a powerful AI-driven tool designed to transform your photos, sketches, and designs into realistic renderings in just seconds. Simply upload your design, and our advanced AI technol"
ot-6699244546403d98189a53fd,"Writepaw","Generative AI","https://writepaw.com/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","Writepaw is an innovative AI Writing Assistant tailored for Business Owners, Marketers, Authors, and other content creators. With a wide array of features, it assists users in producing high-quality c"
github-apple-docs-mcp-300,"apple-docs-mcp","Generative AI","https://github.com/kimsungwhee/apple-docs-mcp",high,"strong indicator match","MCP server for Apple Developer Documentation - Search iOS/macOS/SwiftUI/UIKit docs, WWDC videos, Swift/Objective-C APIs & code examples in Claude, Cursor & AI"
github-autodev-vscode-302,"autodev-vscode","Generative AI","https://github.com/unit-mesh/autodev-vscode",high,"strong indicator match","AutoDev - 🧙‍the AI-powered coding wizard . Put the most loved AutoDev AI assistant into your VSCode, and have things done"
github-openai-sublime-text-304,"OpenAI-sublime-text","Generative AI","https://github.com/yaroslavyaroslav/OpenAI-sublime-text",high,"strong indicator match","First class Sublime Text AI assistant with gpt-5, o3 and ollama"
github-google-bard-api-310,"google-bard-api","Generative AI","https://github.com/ra83205/google-bard-api",high,"strong indicator match","This project provides a FastAPI wrapper for interacting with Google Bard, a conversational AI by Google. It allows users to send messages to Google Bard and receive responses through a simple"
ot-6697db44ef25c0746b5fb419,"Flowjin","Generative AI","https://www.flowjin.com/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","Flowjin is an AI-powered software application designed to transform lengthy videos or audio recordings into short, engaging clips. It offers a user-friendly video editor, automatic reframing, AI-gener"
11,"Runway","Video Generation","https://runwayml.com",high,"strong indicator match","AI creative platform for video generation, editing, and visual effects."
github-sora-fullstack-58,"Sora-FullStack","Generative AI","https://github.com/TornadoInsight/Sora-FullStack",high,"strong indicator match","OpenAi-Sora (SoraFlows) is an open-source, cross-platform web application for AI-powered video creation and editing using the latest OpenAI Sora model. Effortlessly generate, edit, and share videos..."
github-deep-code-reasoning-mcp-64,"deep-code-reasoning-mcp","Generative AI","https://github.com/haasonsaas/deep-code-reasoning-mcp",high,"strong indicator match","A Model Context Protocol (MCP) server that provides advanced code analysis and reasoning capabilities powered by Google's Gemini"
github-anything-copilot-354,"anything-copilot","Generative AI","https://github.com/baotlake/anything-copilot",high,"strong indicator match","Anything Copilot enables you to open any sites in a multi-tab sidebar or popup, enhancing accessibility and productivity while maintaining privacy and"
github-hm-editor-357,"hm_editor","Generative AI","https://github.com/huimeicloud/hm_editor",high,"strong indicator match","一款轻量级、可扩展的、跨平台的、专为医疗信息化设计的电子病历编辑器内核，为EMR（电子病历系统）提供专业的结构化病历编辑与AI接入解决方案。"
github-mcp-headless-gmail-361,"mcp-headless-gmail","Generative AI","https://github.com/baryhuang/mcp-headless-gmail",high,"strong indicator match","A MCP (Model Context Protocol) server that provides get, send Gmails without local credential or token"
github-auto-reply-android-366,"Auto-Reply-Android","Generative AI","https://github.com/it5prasoon/Auto-Reply-Android",high,"strong indicator match","An application developed to provide automatic reply service for instant messengers like WhatsApp and Facebook. Now Supports LLM"
ot-669852e8ab9798050c9ffc2b,"Typeframes","Generative AI","https://www.typeframes.com/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","Typeframes is a powerful AI-driven tool designed to convert text into engaging videos quickly and efficiently. Ideal for platforms like YouTube, Instagram, and TikTok, it aims to increase engagement, "
github-qlib-152,"qlib","Generative AI","https://github.com/microsoft/qlib",high,"strong indicator match","Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms,..."
github-mlflow-164,"mlflow","Generative AI","https://github.com/mlflow/mlflow",high,"strong indicator match","The open source developer platform to build AI agents and models with confidence. Enhance your AI applications with end-to-end tracking, observability, and evaluations, all in one integrated"
github-autoclip-15,"autoclip","Generative AI","https://github.com/zhouxiaoka/autoclip",high,"strong indicator match","AutoClip : AI-powered video clipping and highlight generation ·"
github-obsidian-mcp-server-30,"obsidian-mcp-server","Generative AI","https://github.com/cyanheads/obsidian-mcp-server",high,"strong indicator match","Obsidian Knowledge-Management MCP (Model Context Protocol) server that enables AI agents and development tools to interact with an Obsidian vault. It provides a comprehensive suite of tools for..."
github-ai-tools-78,"ai-tools","Generative AI","https://github.com/drshahizan/ai-tools",high,"strong indicator match","AI-powered literature review tools leverage machine learning to expedite and enhance the scholarly process of identifying, analyzing, and synthesizing relevant"
github-h4cker-93,"h4cker","Generative AI","https://github.com/The-Art-of-Hacking/h4cker",high,"strong indicator match","This repository is maintained by Omar Santos (@santosomar) and includes thousands of resources related to ethical hacking, bug bounties, digital forensics and incident response (DFIR), AI security,..."
github-awesome-artificial-intelligence-111,"awesome-artificial-intelligence","Generative AI","https://github.com/owainlewis/awesome-artificial-intelligence",high,"strong indicator match","A curated list of Artificial Intelligence (AI) courses, books, video lectures and"
github-ccf-deadlines-123,"ccf-deadlines","Generative AI","https://github.com/ccfddl/ccf-deadlines",high,"strong indicator match","⏰ Collaboratively track worldwide conference deadlines (Website, Python Cli, Wechat Applet) / If you find it useful, please star this project,"
14,"Synthesia","Video Generation","https://www.synthesia.io",high,"strong indicator match","AI video generation platform with avatars and multi-language support."
github-prompt-engineering-guide-174,"Prompt-Engineering-Guide","Generative AI","https://github.com/dair-ai/Prompt-Engineering-Guide",high,"strong indicator match","🐙 Guides, papers, lessons, notebooks and resources for prompt engineering, context engineering, RAG, and AI"
github-memvid-189,"memvid","Generative AI","https://github.com/Olow304/memvid",high,"strong indicator match","Video-based AI memory library. Store millions of text chunks in MP4 files with lightning-fast semantic search. No database"
github-learn-prompting-206,"Learn_Prompting","Generative AI","https://github.com/trigaten/Learn_Prompting",high,"strong indicator match","Prompt Engineering, Generative AI, and LLM Guide by Learn Prompting | Join our discord for the largest Prompt Engineering learning"
github-deeplake-219,"deeplake","Generative AI","https://github.com/activeloopai/deeplake",high,"strong indicator match","Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow...."
github-jetson-inference-220,"jetson-inference","Generative AI","https://github.com/dusty-nv/jetson-inference",high,"strong indicator match","Hello AI World guide to deploying deep-learning inference networks and deep vision primitives with TensorRT and NVIDIA"
github-bosssensor-224,"BossSensor","Generative AI","https://github.com/Hironsan/BossSensor",high,"strong indicator match","Hide screen when boss is"
github-evidently-248,"evidently","Generative AI","https://github.com/evidentlyai/evidently",high,"strong indicator match","Evidently is ​​an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI-powered system or data pipeline. From tabular data to Gen AI. 100+"
17,"Descript","Audio/Video Processing","https://www.descript.com",high,"strong indicator match","AI-powered video and podcast editing platform with transcription."
github-pyrit-269,"PyRIT","Generative AI","https://github.com/Azure/PyRIT",high,"strong indicator match","The Python Risk Identification Tool for generative AI (PyRIT) is an open source framework built to empower security professionals and engineers to proactively identify risks in generative AI"
github-stable-diffusion-276,"Stable-Diffusion","Generative AI","https://github.com/FurkanGozukara/Stable-Diffusion",high,"strong indicator match","FLUX, Stable Diffusion, SDXL, SD3, LoRA, Fine Tuning, DreamBooth, Training, Automatic1111, Forge WebUI, SwarmUI, DeepFake, TTS, Animation, Text To Video, Tutorials, Guides, Lectures, Courses,..."
github-presentation-ai-282,"presentation-ai","Generative AI","https://github.com/allweonedev/presentation-ai",high,"strong indicator match","ALLWEONE® Open source AI presentation generator Gamma Alternative. Create professional slides with customizable themes and AI-generated content in"
github-mattergen-286,"mattergen","Generative AI","https://github.com/microsoft/mattergen",high,"strong indicator match","Official implementation of MatterGen -- a generative model for inorganic materials design across the periodic table that can be fine-tuned to steer the generation towards a wide range of property..."
github-coffee-287,"coffee","Generative AI","https://github.com/Coframe/coffee",high,"strong indicator match","Build and iterate on your UI 10x faster with AI - right from your own IDE"
github-claude-code-nvim-294,"claude-code.nvim","Generative AI","https://github.com/greggh/claude-code.nvim",high,"strong indicator match","Seamless integration between Claude Code AI assistant and"
github-py-gpt-295,"py-gpt","Generative AI","https://github.com/szczyglis-dev/py-gpt",high,"strong indicator match","Desktop AI Assistant powered by GPT-5, GPT-4, o1, o3, Gemini, Claude, Ollama, DeepSeek, Perplexity, Grok, Bielik, chat, vision, voice, RAG, image and video generation, agents, tools, MCP, plugins,..."
github-opencode-nvim-297,"opencode.nvim","Generative AI","https://github.com/NickvanDyke/opencode.nvim",high,"strong indicator match","Integrate the opencode AI assistant with Neovim — streamline editor-aware research, reviews, and"
github-k8s-mcp-server-315,"k8s-mcp-server","Generative AI","https://github.com/alexei-led/k8s-mcp-server",high,"strong indicator match","K8s-mcp-server is a Model Context Protocol (MCP) server that enables AI assistants like Claude to securely execute Kubernetes commands. It provides a bridge between language models and essential..."
github-odin-slides-325,"odin-slides","Generative AI","https://github.com/leonid20000/odin-slides",high,"strong indicator match","This is an advanced Python tool that empowers you to effortlessly draft customizable PowerPoint slides using the Generative Pre-trained Transformer (GPT) of your choice. Leveraging the capabilities..."
github-taskosaur-328,"Taskosaur","Generative AI","https://github.com/Taskosaur/Taskosaur",high,"strong indicator match","Open Source Project Management with Conversational AI Task Execution. Built for teams who want conversational workflow management alongside traditional PM features. Self-hostable with modular..."
github-cursor-agent-tracking-329,"cursor-agent-tracking","Generative AI","https://github.com/techcow2/cursor-agent-tracking",high,"strong indicator match","A repository that provides a structured system for maintaining context and tracking changes in Cursor's AGENT mode conversations through template files, enabling better continuity and organization of."
github-ai-assisted-task-executor-330,"ai-assisted-task-executor","Generative AI","https://github.com/kalaspuff/ai-assisted-task-executor",high,"strong indicator match","🤖 A Task-Driven Autonomous Agent System as an AI-powered solution that leverages LLMs, vector search, and the LangChain framework to efficiently complete, generate, and prioritize tasks using a wide."
github-openai-assistants-template-337,"OpenAI-Assistants-Template","Generative AI","https://github.com/pranavgupta2603/OpenAI-Assistants-Template",high,"strong indicator match","Build and deploy AI-driven assistants with our OpenAI Assistants Template. This tutorial provides a hands-on approach to using OpenAI's Assistant API, complete with code modules, interactive Jupyter.."
github-timeline-studio-339,"timeline-studio","Generative AI","https://github.com/chatman-media/timeline-studio",high,"strong indicator match","Timeline Studio - Video Editing with"
github-aidea-390,"aidea","ChatBots","https://github.com/mylxsw/aidea",high,"strong indicator match","AIdea 是一款支持 GPT 以及国产大语言模型通义千问、文心一言等，支持 Stable Diffusion 文生图、图生图、 SDXL1.0、超分辨率、图片上色的全能型"
ot-669842e0ab9798050c9fa913,"Chromox","Generative AI","https://chromox.alkaidvision.com/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","Chromox is a cutting-edge AI video generator designed to revolutionize the creative process by transforming ideas into vivid visual stories. With Chromox, you can generate text-to-video, image-to-vide"
